2001,Economic Sciences,A. Michael Spence,2/21/1961,"Montclair, NJ"
1975,Physics,Aage N. Bohr,6/19/1922,Copenhagen
2004,Chemistry,Aaron Ciechanover,10/1/1947,Haifa
1982,Chemistry,Aaron Klug,8/11/1926,Zelvas
1979,Physics,Abdus Salam,1/29/1926,Jhang Maghiāna
2019,Economic Sciences,Abhijit Banerjee,2/21/1961,Mumbai
2019,Peace,Abiy Ahmed Ali,8/15/1976,Beshasha
2009,Chemistry,Ada E. Yonath,6/22/1939,Jerusalem
2011,Physics,Adam G. Riess,12/16/1969,"Washington, DC"
1939,Chemistry,Adolf Butenandt,3/24/1903,Bremerhaven-Lehe
1905,Chemistry,Adolf von Baeyer,1835-10-31,Berlin
1928,Chemistry,Adolf Windaus,1876-12-25,Berlin
1980,Peace,Adolfo Pérez Esquivel,11/26/1931,Buenos Aires
1999,Chemistry,Ahmed Zewail,2/26/1946,Damanhur
2010,Chemistry,Akira Suzuki,9/12/1930,Mukawa
2019,Chemistry,Akira Yoshino,1/30/1948,Suita
2007,Peace,Al Gore,3/31/1948,"Washington, DC"
2000,Chemistry,Alan Heeger,1/22/1936,"Sioux City, IA"
1963,Physiology or Medicine,Alan Hodgkin,2/5/1914,Banbury
2000,Chemistry,Alan MacDiarmid,4/14/1927,Masterton
1907,Physics,Albert A. Michelson,1852-12-19,Strelno
1957,Literature,Albert Camus,11/7/1913,Mondovi
1974,Physiology or Medicine,Albert Claude,1898-08-24,Longlier
1921,Physics,Albert Einstein,1879-03-14,Ulm
2007,Physics,Albert Fert,3/7/1938,Carcassonne
1902,Peace,Albert Gobat,1843-05-21,Tramelan
1960,Peace,Albert Luthuli,1898-00-00,Bulawayo
1952,Peace,Albert Schweitzer,1875-01-14,Kaysersberg
1937,Physiology or Medicine,Albert Szent-Györgyi,1893-09-16,Budapest
1910,Physiology or Medicine,Albrecht Kossel,1853-09-16,Rostock
1964,Physics,Aleksandr M. Prokhorov,7/11/1916,Atherton
1970,Literature,Alexandr Solzhenitsyn,12/11/1918,Kislovodsk
2003,Physics,Alexei Abrikosov,6/25/1928,Moscow
1912,Physiology or Medicine,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon
1982,Peace,Alfonso García Robles,3/20/1911,Zamora
1969,Physiology or Medicine,Alfred D. Hershey,12/4/1908,"Owosso, MI"
1911,Peace,Alfred Fried,1864-11-11,Vienna
1994,Physiology or Medicine,Alfred G. Gilman,7/1/1941,"New Haven, CT"
1966,Physics,Alfred Kastler,5/3/1902,Guebwiller
1913,Chemistry,Alfred Werner,1866-12-12,Mulhouse
2013,Literature,Alice Munro,7/10/1931,Wingham
1979,Physiology or Medicine,Allan M. Cormack,2/23/1924,Johannesburg
1911,Physiology or Medicine,Allvar Gullstrand,1862-06-05,Landskrona
1907,Physiology or Medicine,Alphonse Laveran,1845-06-18,Paris
1982,Peace,Alva Myrdal,1/31/1902,Uppsala
2012,Economic Sciences,Alvin E. Roth,12/18/1951,"New York, NY"
1998,Economic Sciences,Amartya Sen,11/3/1933,Santiniketan
1947,Peace,American Friends Service Committee,,
1977,Peace,Amnesty International,,
1921,Literature,Anatole France,1844-04-16,Paris
1956,Physiology or Medicine,André F. Cournand,1895-09-24,Paris
2010,Physics,Andre Geim,10/21/1958,Sochi
1947,Literature,André Gide,1869-11-22,Paris
1965,Physiology or Medicine,André Lwoff,5/8/1902,Ainay-le-Château
1975,Peace,Andrei Sakharov,5/21/1921,Moscow
1963,Physiology or Medicine,Andrew Huxley,11/22/1917,Hampstead
1977,Physiology or Medicine,Andrew V. Schally,11/30/1926,Wilno
2006,Physiology or Medicine,Andrew Z. Fire,4/27/1959,"Stanford, CA"
2015,Economic Sciences,Angus Deaton,10/19/1945,Edinburgh
2003,Physics,Anthony J. Leggett,3/26/1938,London
1974,Physics,Antony Hewish,5/11/1924,Fowey
1978,Peace,Anwar al-Sadat,12/25/1918,Mit Abu al-Kawm
1952,Chemistry,Archer J.P. Martin,3/1/1910,London
1922,Physiology or Medicine,Archibald V. Hill,1886-09-26,Bristol
2013,Chemistry,Arieh Warshel,11/20/1940,Kibbutz Sde-Nahum
1926,Peace,Aristide Briand,1862-03-28,Nantes
1948,Chemistry,Arne Tiselius,8/10/1902,Stockholm
1978,Physics,Arno Penzias,4/26/1933,Munich
2018,Physics,Arthur Ashkin,9/2/1922,"New York, NY"
2015,Physics,Arthur B. McDonald,8/29/1943,Sydney
1927,Physics,Arthur H. Compton,1892-09-10,"Wooster, OH"
1929,Chemistry,Arthur Harden,1865-10-12,Manchester
1934,Peace,Arthur Henderson,1863-09-13,Glasgow
1959,Physiology or Medicine,Arthur Kornberg,3/3/1918,"Brooklyn, NY"
1981,Physics,Arthur L. Schawlow,5/5/1921,"Mount Verno, NY"
1945,Chemistry,Artturi Virtanen,1895-01-15,Helsinki
2000,Physiology or Medicine,Arvid Carlsson,1/25/1923,Uppsala
1920,Physiology or Medicine,August Krogh,1874-11-15,Grenå
1909,Peace,Auguste Beernaert,1829-07-26,Ostend
1991,Peace,Aung San Suu Kyi ,6/19/1945,Rangoon
2004,Chemistry,Avram Hershko,12/31/1937,Karcag
2015,Chemistry,Aziz Sancar,9/8/1946,Savur
2009,Peace,Barack H. Obama,8/4/1961,"Honolulu, HI"
1983,Physiology or Medicine,Barbara McClintock,6/16/1902,"Hartford, CT"
2017,Physics,Barry C. Barish,1/27/1936,"Omaha, NE"
2005,Physiology or Medicine,Barry J. Marshall,9/30/1951,Kalgoorlie
2001,Chemistry,Barry Sharpless,4/28/1941,"Philadelphia, PA"
1976,Physiology or Medicine,Baruch S. Blumberg,7/28/1925,"New York, NY"
1980,Physiology or Medicine,Baruj Benacerraf,10/29/1920,Caracas
1975,Physics,Ben R. Mottelson,7/9/1926,"Chicago, IL"
2016,Economic Sciences,Bengt Holmström,4/18/1949,Helsinki
1982,Physiology or Medicine,Bengt I. Samuelsson,5/21/1934,Halmstad
2016,Chemistry,Bernard L. Feringa,5/18/1951,Barger-Compascuum
1947,Physiology or Medicine,Bernardo Houssay,1887-04-10,Buenos Aires
1991,Physiology or Medicine,Bert Sakmann,6/12/1942,Stuttgart
1905,Peace,Bertha von Suttner,1843-06-09,Prague
1977,Economic Sciences,Bertil Ohlin,1899-04-23,Klippan
1994,Physics,Bertram N. Brockhouse,7/15/1918,"Lethbridge, Alberta"
1950,Literature,Bertrand Russell,1872-05-18,Trelleck
1976,Peace,Betty Williams,5/22/1943,Belfast
1903,Literature,Bjørnstjerne Bjørnson,1832-12-08,Kvikne
2016,Literature,Bob Dylan,5/24/1941,"Duluth, MN"
1958,Literature,Boris Pasternak,1890-02-10,Moscow
1973,Physics,Brian D. Josephson,1/4/1940,Cardiff
2012,Chemistry,Brian Kobilka,5/30/1955,"Little Falls, MN"
2011,Physics,Brian P. Schmidt,2/24/1967,"Missoula, MT"
2011,Physiology or Medicine,Bruce A. Beutler,12/29/1957,"Chicago, IL"
1984,Chemistry,Bruce Merrifield,7/15/1921,"Fort Worth, TX"
1976,Physics,Burton Richter,3/22/1931,"Brooklyn, NY"
1927,Physics,C.T.R. Wilson,1869-02-14,Glencorse
1906,Physiology or Medicine,Camillo Golgi,1843-07-07,Corteno
1989,Literature,Camilo José Cela,5/11/1916,Iria Flavia
1931,Chemistry,Carl Bosch,1874-08-27,Cologne
1947,Physiology or Medicine,Carl Cori,1896-12-05,Prague
1936,Physics,Carl D. Anderson,9/3/1905,"New York, NY"
1919,Literature,Carl Spitteler,1845-04-24,Liestal
1935,Peace,Carl von Ossietzky,1889-10-03,Hamburg
2001,Physics,Carl Wieman,3/26/1951,"Corvallis, OR"
1984,Physics,Carlo Rubbia,3/31/1934,Gorizia
1996,Peace,Carlos Filipe Ximenes Belo,2/3/1948,Wailacama
1936,Peace,Carlos Saavedra Lamas,1878-11-01,Buenos Aires
2009,Physiology or Medicine,Carol W. Greider,4/15/1961,"San Diego, CA"
1950,Physics,Cecil Powell,12/5/1903,Tonbridge
1984,Physiology or Medicine,César Milstein,10/8/1927,Bahia Blanca
1966,Physiology or Medicine,Charles B. Huggins,9/22/1901,Halifax
1920,Physics,Charles Edouard Guillaume,1861-02-15,Fleurier
1925,Peace,Charles G. Dawes,1865-08-27,"Marietta, OH"
1917,Physics,Charles Glover Barkla,1877-06-07,Widnes
1964,Physics,Charles H. Townes,7/28/1915,"Greenville, SC"
1987,Chemistry,Charles J. Pedersen,10/3/1904,Pusan
2009,Physics,Charles K. Kao,11/4/1933,Shanghai
1928,Physiology or Medicine,Charles Nicolle,1866-09-21,Rouen
1913,Physiology or Medicine,Charles Richet,1850-08-26,Paris
1957,Physics,Chen Ning Yang,9/22/1922,"Hofei, Anhwei"
1929,Physiology or Medicine,Christiaan Eijkman,1858-08-11,Nijkerk
1972,Chemistry,Christian Anfinsen,3/26/1916,"Monessen, PA"
1974,Physiology or Medicine,Christian de Duve,10/2/1917,Thames Ditton
1921,Peace,Christian Lange,1869-09-17,Stavanger
1995,Physiology or Medicine,Christiane Nüsslein-Volhard,10/20/1942,Magdeburg
2010,Economic Sciences,Christopher A. Pissarides,2/20/1948,Nicosia
2011,Economic Sciences,Christopher A. Sims,10/21/1942,"Washington, DC"
1997,Physics,Claude Cohen-Tannoudji,4/1/1933,Constantine
1985,Literature,Claude Simon,10/10/1913,Tananarive
1994,Physics,Clifford G. Shull,9/23/1915,"Pittsburgh, PA"
1937,Physics,Clinton Davisson,1881-10-22,"Bloomington, IL"
2003,Economic Sciences,Clive W.J. Granger,9/4/1934,Swansea
1945,Peace,Cordell Hull,1871-10-02,"Olympus, TN"
1938,Physiology or Medicine,Corneille Heymans,1892-03-28,Ghent
2006,Physiology or Medicine,Craig C. Mello,10/19/1960,"New Haven, CT"
1980,Literature,Czeslaw Milosz,6/30/1911,Śeteniai
1976,Physiology or Medicine,D. Carleton Gajdusek,9/9/1923,"Yonkers, NY"
1961,Peace,Dag Hammarskjöld,7/29/1905,Jönköping
2010,Economic Sciences,Dale T. Mortensen,2/2/1939,"Enterprise, OR"
2011,Chemistry,Dan Shechtman,1/24/1941,Tel Aviv
1957,Physiology or Medicine,Daniel Bovet,3/23/1907,Neuchâtel
1998,Physics,Daniel C. Tsui,2/28/1939,Henan
2002,Economic Sciences,Daniel Kahneman,3/5/1934,Tel Aviv
2000,Economic Sciences,Daniel L. McFadden,7/29/1937,"Raleigh, NC"
1978,Physiology or Medicine,Daniel Nathans,10/30/1928,"Wilmington, DE"
1997,Literature,Dario Fo,3/24/1926,Leggiuno-Sangiano
1975,Physiology or Medicine,David Baltimore,3/7/1938,"New York, NY"
1981,Physiology or Medicine,David H. Hubel,2/27/1926,"Windsor, ON"
2004,Physics,David J. Gross,2/19/1941,"Washington, DC"
2016,Physics,David J. Thouless,9/21/1934,Bearsden
2012,Physics,David J. Wineland,2/24/1944,"Milwaukee, WI"
1996,Physics,David M. Lee,1/20/1931,"Rye, NY"
1998,Peace,David Trimble,10/15/1944,Belfast
2018,Peace,Denis Mukwege,3/1/1955,Bukavu
1971,Physics,Dennis Gabor,6/5/1900,Budapest
1969,Chemistry,Derek Barton,9/8/1918,Gravesend
1992,Literature,Derek Walcott,1/23/1930,Castries
1984,Peace,Desmond Tutu,10/7/1931,Klerksdorp
1956,Physiology or Medicine,Dickinson W. Richards,1895-10-30,"Orange, NJ"
2019,Physics,Didier Queloz,2/23/1966,Geneva
1960,Physics,Donald A. Glaser,9/21/1926,"Cleveland, OH"
1987,Chemistry,Donald J. Cram,4/22/1919,"Chester, VT"
2018,Physics,Donna Strickland,5/27/1959,Guelph
2007,Literature,Doris Lessing,10/22/1919,Kermanshah
1964,Chemistry,Dorothy Crowfoot Hodgkin,5/12/1910,Cairo
1996,Physics,Douglas D. Osheroff,8/1/1945,"Aberdeen, WA"
1993,Economic Sciences,Douglass C. North,11/5/1920,"Cambridge, MA"
1986,Chemistry,Dudley R. Herschbach,6/18/1932,"San José, CA"
1990,Physiology or Medicine,E. Donnall Thomas,3/15/1920,"Mart, TX"
1952,Physics,E. M. Purcell,8/30/1912,"Taylorville, IL"
1971,Physiology or Medicine,"Earl W. Sutherland, Jr.",11/19/1915,"Burlingame, KS"
1932,Physiology or Medicine,Edgar Adrian,1889-11-30,London
1992,Physiology or Medicine,Edmond H. Fischer,4/6/1920,Shanghai
2006,Economic Sciences,Edmund S. Phelps,7/26/1933,"Evanston, IL"
1907,Chemistry,Eduard Buchner,1860-05-20,Munich
2014,Physiology or Medicine,Edvard I. Moser,4/27/1962,Ålesund
1943,Physiology or Medicine,Edward A. Doisy,1893-11-13,"Hume, IL"
1995,Physiology or Medicine,Edward B. Lewis,5/20/1918,"Wilkes-Barre, PA"
1950,Physiology or Medicine,Edward C. Kendall,1886-03-08,"South Norwalk, CT"
2004,Economic Sciences,Edward C. Prescott,12/26/1940,"Glens Falls, NY"
1958,Physiology or Medicine,Edward Tatum,12/14/1909,"Boulder, CO"
1947,Physics,Edward V. Appleton,1892-09-06,Bradford
1992,Physiology or Medicine,Edwin G. Krebs,6/6/1918,"Lansing, IA"
1951,Chemistry,Edwin M. McMillan,9/18/1907,"Redondo Beach, CA"
1949,Physiology or Medicine,Egas Moniz,1874-11-29,Avanca
2010,Chemistry,Ei-ichi Negishi,7/14/1935,Changchun
1974,Peace,Eisaku Sato,3/27/1901,Tabuse
2004,Literature,Elfriede Jelinek,10/20/1946,Mürzzuschlag
1981,Literature,Elias Canetti,7/25/1905,Ruse
1990,Chemistry,Elias James Corey,7/12/1928,"Methuen, MA"
1902,Peace,Élie Ducommun,1833-02-19,Geneva
1986,Peace,Elie Wiesel,9/30/1928,Sighet
1912,Peace,Elihu Root,1845-02-15,"Clinton, NY"
2009,Economic Sciences,Elinor Ostrom,8/7/1933,"Los Angeles, CA"
2009,Physiology or Medicine,Elizabeth H. Blackburn,11/26/1948,"Hobart, Tasmania"
2011,Peace,Ellen Johnson Sirleaf,10/29/1938,Monrovia
1902,Chemistry,Emil Fischer,1852-10-09,Euskirchen
1901,Physiology or Medicine,Emil von Behring,1854-03-15,Hansdorf
1959,Physics,Emilio Segrè,2/1/1905,Tivoli
1946,Peace,Emily Greene Balch,1867-01-08,"Jamaica Plain, MA"
1938,Physics,Enrico Fermi,9/29/1901,Rome
2014,Chemistry,Eric Betzig,1/13/1960,"Ann Arbor, MI"
2001,Physics,Eric Cornell,12/19/1961,"Palo Alto, CA"
1995,Physiology or Medicine,Eric F. Wieschaus,6/8/1947,"South Bend, IN"
2000,Physiology or Medicine,Eric Kandel,11/7/1929,Vienna
2007,Economic Sciences,Eric S. Maskin,12/12/1950,"New York, NY"
1931,Literature,Erik Axel Karlfeldt,1864-07-20,Karlbo
1954,Literature,Ernest Hemingway,1899-07-21,"Oak Park, IL"
1939,Physics,Ernest Lawrence,8/8/1901,"Canton, SD"
1908,Chemistry,Ernest Rutherford,1871-08-30,Nelson
1951,Physics,Ernest T.S. Walton,10/6/1903,Dungarvan
1907,Peace,Ernesto Teodoro Moneta,1833-09-20,Milan
1945,Physiology or Medicine,Ernst B. Chain,6/19/1906,Berlin
1973,Chemistry,Ernst Otto Fischer,11/10/1918,Munich
1986,Physics,Ernst Ruska,12/25/1906,Heidelberg
1991,Physiology or Medicine,Erwin Neher,3/20/1944,Landsberg
1933,Physics,Erwin Schrödinger,1887-08-12,Vienna
2019,Economic Sciences,Esther Duflo,10/25/1972,Paris
2013,Economic Sciences,Eugene F. Fama,2/14/1939,"Boston, MA"
1936,Literature,Eugene O'Neill,1888-10-16,"New York, NY"
1963,Physics,Eugene Wigner,11/17/1902,Budapest
1975,Literature,Eugenio Montale,1896-10-12,Genoa
2012,Peace,European Union (EU),,
1974,Literature,Eyvind Johnson,7/29/1900,Svartbjörnsbyn
2016,Physics,F. Duncan M. Haldane,9/14/1951,London
1995,Chemistry,F. Sherwood Rowland,6/28/1927,"Delaware, OH"
1993,Peace,F.W. de Klerk,3/18/1936,Johannesburg
1952,Physics,Felix Bloch,10/23/1905,Zurich
1964,Physiology or Medicine,Feodor Lynen,4/6/1911,Munich
1909,Physics,Ferdinand Braun,1850-06-06,Fulda
1927,Peace,Ferdinand Buisson,1841-12-20,Paris
1998,Physiology or Medicine,Ferid Murad,9/14/1936,"Whiting, IN"
2004,Economic Sciences,Finn E. Kydland,12/1/1943,Gjesdal
2018,Chemistry,Frances H. Arnold,7/25/1956,"Pittsburgh, PA"
1962,Physiology or Medicine,Francis Crick,6/8/1916,Northampton
1922,Chemistry,Francis W. Aston,1877-09-01,Harborne
1985,Economic Sciences,Franco Modigliani,6/18/1918,Rome
2013,Physics,François Englert,11/6/1932,Etterbeek
1965,Physiology or Medicine,François Jacob,6/17/1920,Nancy
1952,Literature,François Mauriac,1885-10-11,Bordeaux
2008,Physiology or Medicine,Françoise Barré-Sinoussi,7/30/1947,Paris
1929,Peace,Frank B. Kellogg,1856-12-22,"Potsdam, NY"
2004,Physics,Frank Wilczek,5/15/1951,"New York, NY"
1939,Literature,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö
1935,Chemistry,Frédéric Joliot,3/19/1900,Paris
1904,Literature,Frédéric Mistral,1830-09-08,Maillane
1901,Peace,Frédéric Passy,1822-05-20,Paris
1954,Physiology or Medicine,Frederick C. Robbins,8/25/1916,"Auburn, AL"
1923,Physiology or Medicine,Frederick G. Banting,1891-11-14,Alliston
1995,Physics,Frederick Reines,3/16/1918,"Paterson, NJ"
1958,Chemistry,Frederick Sanger,8/13/1918,Rendcombe
1921,Chemistry,Frederick Soddy,1877-09-02,Eastbourne
1908,Peace,Fredrik Bajer,1837-04-21,Næstved
1922,Peace,Fridtjof Nansen,1861-10-10,Kristiania
1931,Chemistry,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau"
1974,Economic Sciences,Friedrich von Hayek,1899-05-08,Vienna
1947,Peace,Friends Service Council,,
1953,Physics,Frits Zernike,1888-07-16,Amsterdam
1918,Chemistry,Fritz Haber,1868-12-09,Breslau
1953,Physiology or Medicine,Fritz Lipmann,1899-06-12,Koenigsberg
1923,Chemistry,Fritz Pregl,1869-09-03,Laibach
1982,Literature,Gabriel García Márquez,3/6/1927,Aracataca
1908,Physics,Gabriel Lippmann,1845-08-16,Hollerich
1945,Literature,Gabriela Mistral,1889-04-07,Vicuña
2000,Literature,Gao Xingjian,1/4/1940,Ganzhou
1992,Economic Sciences,Gary Becker,12/2/1930,"Pottsville, PA"
1973,Chemistry,Geoffrey Wilkinson,7/14/1921,Todmorden
1961,Physiology or Medicine,Georg von Békésy,1899-06-03,Budapest
1979,Chemistry,Georg Wittig,1897-06-16,Berlin
2001,Economic Sciences,George A. Akerlof,6/17/1940,"New Haven, CT"
1994,Chemistry,George A. Olah,5/22/1927,Budapest
1958,Physiology or Medicine,George Beadle,10/22/1903,"Wahoo, NE"
1925,Literature,George Bernard Shaw,1856-07-26,Dublin
1953,Peace,George C. Marshall,1880-12-31,"Uniontown, PA"
1980,Physiology or Medicine,George D. Snell,12/19/1903,"Bradford, MA"
1943,Chemistry,George de Hevesy,1885-08-01,Budapest
1974,Physiology or Medicine,George E. Palade,11/19/1912,Lasi
2009,Physics,George E. Smith,5/10/1930,"White Plains, NY"
2006,Physics,George F. Smoot,2/20/1945,"Yukon, FL"
1988,Physiology or Medicine,George H. Hitchings,4/18/1905,"Hoquiam, WA"
1934,Physiology or Medicine,George H. Whipple,1878-08-28,"Ashland, NH"
1982,Economic Sciences,George J. Stigler,1/17/1911,"Renton, WA"
2018,Chemistry,George P. Smith,3/10/1941,"Norwalk, CT"
1937,Physics,George Paget Thomson,1892-05-03,Cambridge
1967,Chemistry,George Porter,12/6/1920,Stainforth
1934,Physiology or Medicine,George R. Minot,1885-12-02,"Boston, MA"
1967,Physiology or Medicine,George Wald,11/18/1906,"New York, NY"
1992,Physics,Georges Charpak,8/1/1924,Dabrovica
1984,Physiology or Medicine,Georges J.F. Köhler,4/17/1946,Munich
1958,Peace,Georges Pire,2/10/1910,Dinant
1972,Physiology or Medicine,Gerald M. Edelman,7/1/1929,"New York, NY"
1983,Economic Sciences,Gerard Debreu,7/4/1921,Calais
2018,Physics,Gérard Mourou,6/22/1944,Albertville
1999,Physics,Gerardus 't Hooft,7/5/1946,Den Helder
1986,Physics,Gerd Binnig,7/20/1947,Frankfurt-on-the-Main
1939,Physiology or Medicine,Gerhard Domagk,1895-10-30,Lagow
2007,Chemistry,Gerhard Ertl,10/10/1936,Bad Cannstatt
1971,Chemistry,Gerhard Herzberg,12/25/1904,Hamburg
1912,Literature,Gerhart Hauptmann,1862-11-15,Bad Salzbrunn
1988,Physiology or Medicine,Gertrude B. Elion,1/23/1918,"New York, NY"
